(0, 0)
(0, 1)
(0, 2)
(1, 2)
(1, 3)
(2, 3)
(3, 3)
(3, 4)
(2, 4)
(2, 5)
(3, 5)
(4, 5)
(5, 5)
(5, 6)
(5, 7)
(6, 7)
(6, 8)
(6, 9)
(5, 9)
(4, 9)
(4, 10)
(4, 11)
(4, 12)
(4, 13)
(5, 13)
(5, 14)
(5, 15)
(6, 15)
(6, 14)
(6, 13)
(7, 13)
(8, 13)
(8, 14)
(8, 15)
(9, 15)
(10, 15)
(11, 15)
(11, 16)
(11, 17)
(11, 18)
(12, 18)
(13, 18)
(13, 19)
(14, 19)
(14, 20)
(15, 20)
(15, 21)
(16, 21)
(17, 21)
(17, 22)
(17, 23)
(16, 23)
(15, 23)
(15, 24)
(16, 24)
(17, 24)
(17, 25)
(16, 25)
(16, 26)
(17, 26)
(18, 26)
(18, 27)
(19, 27)
(20, 27)
(20, 26)
(21, 26)
(22, 26)
(23, 26)
(23, 25)
(22, 25)
(21, 25)
(20, 25)
(20, 24)
(19, 24)
(19, 23)
(19, 22)
(19, 21)
(20, 21)
(21, 21)
(21, 20)
(20, 20)
(20, 19)
(20, 18)
(21, 18)
(21, 17)
(22, 17)
(23, 17)
(24, 17)
(24, 18)
(25, 18)
(26, 18)
(27, 18)
(27, 19)
(28, 19)
(29, 19)
(30, 19)
(31, 19)
(32, 19)
(33, 19)
(33, 20)
(34, 20)
(35, 20)
(36, 20)
(36, 19)
(37, 19)
(37, 18)
(38, 18)
(39, 18)
(40, 18)
(41, 18)
(41, 19)
(42, 19)
(43, 19)
(44, 19)
(44, 20)
(43, 20)
(43, 21)
(42, 21)
(42, 22)
(42, 23)
(43, 23)
(44, 23)
(44, 24)
(45, 24)
(46, 24)
(47, 24)
(48, 24)
(49, 24)
(49, 25)
(50, 25)
(50, 26)
(50, 27)
(51, 27)
(51, 26)
(51, 25)
(51, 24)
(52, 24)
(53, 24)
(53, 23)
(54, 23)
(55, 23)
(55, 24)
(56, 24)
(56, 23)
(56, 22)
(57, 22)
(58, 22)
(58, 21)
(58, 20)
(59, 20)
(59, 21)
(60, 21)
(60, 20)
(60, 19)
(60, 18)
(60, 17)
(61, 17)
(61, 16)
(62, 16)
(62, 15)
(63, 15)
(63, 14)
(63, 13)
(62, 13)
(61, 13)
(61, 12)
(61, 11)
(62, 11)
(62, 12)
(63, 12)
(63, 11)
(63, 10)
(64, 10)
(64, 9)
(65, 9)
(65, 10)
(66, 10)
(66, 9)
(67, 9)
(67, 8)
(66, 8)
(66, 7)
(66, 6)
(67, 6)
(68, 6)
(68, 7)
(69, 7)
(69, 6)
(70, 6)
(70, 7)
(71, 7)
(72, 7)
(73, 7)
(74, 7)
(75, 7)
(75, 8)
(76, 8)
(76, 9)
(76, 10)
(77, 10)
(78, 10)
(79, 10)
(79, 11)
(78, 11)
(78, 12)
(79, 12)
(80, 12)
(81, 12)
(82, 12)
(82, 13)
(83, 13)
(83, 14)
(82, 14)
(82, 15)
(81, 15)
(81, 16)
(80, 16)
(80, 17)
(79, 17)
(79, 18)
(78, 18)
(77, 18)
(77, 19)
(78, 19)
(78, 20)
(79, 20)
(79, 21)
(79, 22)
(78, 22)
(78, 21)
(77, 21)
(76, 21)
(76, 22)
(76, 23)
(77, 23)
(77, 24)
(76, 24)
(76, 25)
(76, 26)
(75, 26)
(75, 27)
(75, 28)
(74, 28)
(74, 29)
(74, 30)
(74, 31)
(73, 31)
(73, 32)
(72, 32)
(71, 32)
(70, 32)
(70, 33)
(70, 34)
(69, 34)
(69, 35)
(69, 36)
(68, 36)
(68, 37)
(67, 37)
(67, 38)
(66, 38)
(65, 38)
(65, 39)
(64, 39)
(63, 39)
(63, 40)
(62, 40)
(61, 40)
(60, 40)
(60, 41)
(59, 41)
(59, 42)
(58, 42)
(57, 42)
(56, 42)
(56, 43)
(56, 44)
(56, 45)
(55, 45)
(55, 44)
(54, 44)
(54, 45)
(54, 46)
(53, 46)
(52, 46)
(52, 45)
(51, 45)
(50, 45)
(50, 44)
(50, 43)
(51, 43)
(52, 43)
(52, 42)
(52, 41)
(52, 40)
(52, 39)
(51, 39)
(50, 39)
(50, 38)
(49, 38)
(48, 38)
(48, 39)
(49, 39)
(49, 40)
(48, 40)
(47, 40)
(46, 40)
(46, 39)
(45, 39)
(44, 39)
(43, 39)
(43, 40)
(44, 40)
(45, 40)
